title,challenge,difficulty
"was sind die Odds,",dass du ne Minute auf Sächsisch redest?,5
"was sind die Odds,",dass du Y für 30 Sekunden massierst?,5
"was sind die Odds,","dass du tweetest ""Bitcoin changed my life"" und es für 24 Stunden nicht löschst",15
"was sind die Odds,","dass du einer Person, die Y aussucht, per DM deine Handynummer schickst?",20
"was sind die Odds,",dass du dein Cyberz mit ner Gabel öffnest?,5
"was sind die Odds,",dass du einen Achselfurz machst?,5
"was sind die Odds,","dass du mit Y einen Walzer zu dem ""We love Hardcore"" von Scooter (ab 01:00) tanzt?",10
"was sind die Odds,",dass du 10 Sit-Ups machst?,5
"was sind die Odds,",dass du jetzt ein Foto in deiner Story postest?,5
"was sind die Odds,",dass du bei einer Pizzeria anrufst und Sushi bestellst?,10
"was sind die Odds,",dass du jetzt auf Instagram live gehst?,15
"was sind die Odds,",dass du deine peinlichste Geschichte erzählst?,10
"was sind die Odds,",dass dir Y ein Tattoo auf dem Arm malt?,10
"was sind die Odds,",dass du für eine Minute die Luft anhälst?,10
"was sind die Odds,",dass du einen Shot Tabasco trinkst?,10
"was sind die Odds,","dass du ein TikTok-Video postest, das bis morgen 1000 Views hat?",15
"was sind die Odds,",dass du Y heute Abend eine Pizza kaufst?,15
"was sind die Odds,",dass du Y heute einen Drink am Späti/Kiosk/Büdchen ausgibst?,5
"was sind die Odds,",dass du heute die ganze Nacht keine Unterwäsche trägst?,15
"was sind die Odds,",dass du den Boden oder Tisch ableckst?,10
"was sind die Odds,",dass du vor der nächsten Person runter auf die Knie gehst und einen Heiratsantrag machst?,15
"was sind die Odds,",dass du die anderen auf deine Stirn malen lässt,10
"was sind die Odds,","dass du zum nächsten Tisch gehst, das vollste Glas leer trinkst und zurückkommst ohne ein Wort zu sagen?",15
"was sind die Odds,",dass du mit 10 Fremden heute Abend ein Selfie machst?,10
"was sind die Odds,",dass du Pantomime auf der Straße machst und Fremde miteinbeziehst?,10
"was sind die Odds,",dass du einer fremden Person für eine Minute nachläufst und sie in jeder Geste nachmachst?,10
"was sind die Odds,",dass du eine Polonaise auf der Straße anfängst und andere dazu aufforderst mitzumachen?,15
"was sind die Odds,",dass du dein Oberteil mit Y tauscht?,5
"was sind die Odds,",dass du einen Handstand machst?,5
"was sind die Odds,",dass du eine fremde Person nach Rat für Liebeskummer fragst?,5
"was sind die Odds,",dass du auf eine fremde Person zugehst und ihr ein Kompliment machst?,5
"was sind die Odds,",dass du zum nächsten Song Luftgitarre spielst?,5
"was sind die Odds,",dass du die ganze Bar dazu bekommst zusammen zu singen?,15
"was sind die Odds,",dass du einen Song auf der Straße performst?,10
"was sind die Odds,","dass du eine fremde Person dazu bekommst, dir ein Cyberz auszugeben?",15
"was sind die Odds,",dass du gleich losheulst wie ein Wolf?,10
"was sind die Odds,",dass du die nächste Runde Cyberz für deine Freunde schmeißt?,15
"was sind die Odds,",dass du eine Ode an Berlin rappst?,5
"was sind die Odds,",dass du einen Shot Zitronen-/Limettensaft trinkst?,5
"was sind die Odds,",dass du 3 gute Eigenschaften von Y nennst?,5
